,carat,cut,color,clarity,depth,table,price,x,y,z,clarity_num,color_num
12765,1.07,Ideal,E,SI2,62.2,55.0,5325.0,6.54,6.58,4.08,1.0,5.0
12766,1.11,Ideal,H,SI1,60.6,59.0,5325.0,6.75,6.71,4.08,2.0,2.0
12767,1.14,Premium,G,SI1,62.2,58.0,5326.0,6.64,6.7,4.15,2.0,3.0
12768,1.07,Premium,H,VS2,62.1,59.0,5327.0,6.52,6.56,4.06,3.0,2.0
12769,1.33,Very Good,J,SI1,64.0,53.0,5327.0,6.93,7.01,4.46,2.0,0.0
12770,1.08,Ideal,F,SI1,62.7,57.0,5327.0,6.52,6.49,4.08,2.0,4.0
12771,1.51,Premium,J,SI2,59.7,62.0,5327.0,7.46,7.42,4.44,1.0,0.0
12772,1.06,Very Good,E,SI1,59.6,57.0,5328.0,6.62,6.67,3.96,2.0,5.0
12773,1.11,Ideal,I,SI1,61.9,55.0,5329.0,6.65,6.66,4.12,2.0,1.0
12774,1.12,Premium,D,SI2,61.2,60.0,5329.0,6.67,6.63,4.07,1.0,6.0
12775,1.12,Premium,G,SI1,59.8,58.0,5329.0,6.79,6.76,4.05,2.0,3.0
12776,1.22,Ideal,I,SI1,62.1,56.0,5329.0,6.83,6.79,4.23,2.0,1.0
12777,1.22,Very Good,F,SI1,63.5,56.0,5329.0,6.79,6.75,4.3,2.0,4.0
12778,1.27,Very Good,F,SI2,61.0,61.0,5330.0,6.95,7.01,4.26,1.0,4.0
12779,1.0,Good,E,SI1,58.2,61.0,5330.0,6.53,6.57,3.81,2.0,5.0
12780,1.03,Ideal,E,SI1,62.0,57.0,5330.0,6.47,6.44,4.0,2.0,5.0
12781,1.03,Premium,F,VS2,60.5,59.0,5330.0,6.6,6.52,3.97,3.0,4.0
12782,1.03,Ideal,E,SI1,62.2,57.0,5330.0,6.48,6.42,4.01,2.0,5.0
12783,0.9,Very Good,D,VS1,60.3,58.0,5331.0,6.23,6.28,3.77,4.0,6.0
12784,1.0,Ideal,E,SI1,61.6,57.0,5331.0,6.37,6.45,3.95,2.0,5.0
12785,1.01,Good,H,VS2,64.4,58.0,5331.0,6.18,6.24,4.0,3.0,2.0
12786,1.0,Fair,D,SI1,65.5,60.0,5331.0,6.18,6.12,4.03,2.0,6.0
12787,1.0,Good,D,SI1,58.5,64.0,5331.0,6.53,6.49,3.81,2.0,6.0
12788,1.19,Ideal,I,SI1,63.7,57.0,5331.0,6.73,6.69,4.28,2.0,1.0
12789,1.12,Ideal,H,SI2,63.6,56.0,5331.0,6.68,6.54,4.19,1.0,2.0
12790,1.25,Premium,I,VS1,59.4,60.0,5331.0,7.1,7.03,4.2,4.0,1.0
12791,1.2,Premium,F,SI2,62.5,59.0,5332.0,6.74,6.68,4.2,1.0,4.0
12792,1.27,Fair,H,SI2,65.2,54.0,5334.0,6.78,6.71,4.41,1.0,2.0
12793,1.02,Very Good,H,VS2,60.2,62.0,5335.0,6.46,6.54,3.91,3.0,2.0
12794,0.9,Ideal,G,VVS2,61.9,56.0,5335.0,6.15,6.22,3.83,5.0,3.0
12795,0.9,Ideal,E,VS1,61.3,57.0,5335.0,6.2,6.24,3.81,4.0,5.0
